strip_id,node_id,vicon_x,vicon_y
18.0,3.0,5.815,5.575
18.0,4.0,5.815,4.575
18.0,5.0,5.815,3.575
18.0,6.0,5.815,2.575
18.0,7.0,5.815,1.575
18.0,8.0,5.815,0.5750000000000001
18.0,9.0,5.815,-0.425
18.0,10.0,5.815,-1.425
18.0,11.0,5.815,-2.4250000000000003
18.0,12.0,5.815,-3.4250000000000003
18.0,13.0,5.815,-4.425
18.0,14.0,5.815,-5.425
18.0,15.0,5.815,-6.425
19.0,1.0,6.815,7.575
19.0,2.0,6.815,6.575
19.0,3.0,6.815,5.575
19.0,4.0,6.815,4.575
19.0,5.0,6.815,3.575
19.0,6.0,6.815,2.575
19.0,7.0,6.815,1.575
19.0,8.0,6.815,0.5750000000000001
19.0,9.0,6.815,-0.425
19.0,10.0,6.815,-1.425
19.0,11.0,6.815,-2.4250000000000003
19.0,12.0,6.815,-3.4250000000000003
19.0,13.0,6.815,-4.425
19.0,14.0,6.815,-5.425
19.0,15.0,6.815,-6.425
20.0,1.0,7.815,7.575
20.0,2.0,7.815,6.575
20.0,3.0,7.815,5.575
20.0,4.0,7.815,4.575
20.0,5.0,7.815,3.575
20.0,6.0,7.815,2.575
20.0,7.0,7.815,1.575
20.0,8.0,7.815,0.5750000000000001
20.0,9.0,7.815,-0.425
20.0,10.0,7.815,-1.425
20.0,11.0,7.815,-2.4250000000000003
20.0,12.0,7.815,-3.4250000000000003
20.0,13.0,7.815,-4.425
20.0,14.0,7.815,-5.425
20.0,15.0,7.815,-6.425
21.0,1.0,8.815,7.575
21.0,2.0,8.815,6.575
21.0,3.0,8.815,5.575
21.0,4.0,8.815,4.575
21.0,5.0,8.815,3.575
21.0,6.0,8.815,2.575
21.0,7.0,8.815,1.575
21.0,8.0,8.815,0.5750000000000001
21.0,9.0,8.815,-0.425
21.0,10.0,8.815,-1.425
21.0,11.0,8.815,-2.4250000000000003
21.0,12.0,8.815,-3.4250000000000003
21.0,13.0,8.815,-4.425
21.0,14.0,8.815,-5.425
21.0,15.0,8.815,-6.425
22.0,1.0,9.815,7.575
22.0,2.0,9.815,6.575
22.0,3.0,9.815,5.575
22.0,4.0,9.815,4.575
22.0,5.0,9.815,3.575
22.0,6.0,9.815,2.575
22.0,7.0,9.815,1.575
22.0,8.0,9.815,0.5750000000000001
22.0,9.0,9.815,-0.425
22.0,10.0,9.815,-1.425
22.0,11.0,9.815,-2.4250000000000003
22.0,12.0,9.815,-3.4250000000000003
22.0,13.0,9.815,-4.425
22.0,14.0,9.815,-5.425
22.0,15.0,9.815,-6.425
23.0,1.0,10.815,7.575
23.0,2.0,10.815,6.575
23.0,3.0,10.815,5.575
23.0,4.0,10.815,4.575
23.0,5.0,10.815,3.575
23.0,6.0,10.815,2.575
23.0,7.0,10.815,1.575
23.0,8.0,10.815,0.5750000000000001
23.0,9.0,10.815,-0.425
23.0,10.0,10.815,-1.425
23.0,11.0,10.815,-2.4250000000000003
23.0,12.0,10.815,-3.4250000000000003
23.0,13.0,10.815,-4.425
23.0,14.0,10.815,-5.425
23.0,15.0,10.815,-6.425
